zone
# x/c     Cp
    1.000000     -0.1543796    
   0.9925388     -0.1877876    
   0.9843466     -0.2187901    
   0.9753368     -0.2432530    
   0.9654404     -0.2615680    
   0.9546573     -0.2737333    
   0.9428163     -0.2809449    
   0.9300273     -0.2855979    
   0.9160337     -0.2862161    
   0.9010238     -0.2834808    
   0.8847175     -0.2779392    
   0.8673057     -0.2692704    
   0.8486016     -0.2581315    
   0.8286651     -0.2437319    
   0.8075850     -0.2273526    
   0.7850836     -0.2074554    
   0.7614628     -0.1840958    
   0.7367384     -0.1571876    
   0.7107391     -0.1255750    
   0.6836649     -8.9954197E-02
   0.6558952     -5.0488729E-02
   0.6278536     -8.4713530E-03
   0.6005169      3.5991669E-02
   0.5739039      8.2920320E-02
   0.5474293      0.1318323    
   0.5215090      0.1834895    
   0.4952933      0.2377340    
   0.4680159      0.2911622    
   0.4384330      0.3398424    
   0.4067374      0.3705016    
   0.3743938      0.3718742    
   0.3423147      0.3420335    
   0.3109458      0.2938063    
   0.2814789      0.2418763    
   0.2531961      0.1911151    
   0.2253039      0.1449803    
   0.1989586      0.1009840    
   0.1741678      5.7115249E-02
   0.1516817      1.4389432E-02
   0.1313613     -2.8524853E-02
   0.1130949     -7.3088996E-02
   9.6759088E-02 -0.1194660    
   8.2231387E-02 -0.1673308    
   6.9382042E-02 -0.2161968    
   5.8087751E-02 -0.2683222    
   4.8409820E-02 -0.3238151    
   4.0449560E-02 -0.3811606    
   3.3780981E-02 -0.4387408    
   2.8332360E-02 -0.4980227    
   2.3655200E-02 -0.5565250    
   1.9894930E-02 -0.6110718    
   1.6976031E-02 -0.6646444    
   1.4493700E-02 -0.7168307    
   1.2396050E-02 -0.7652507    
   1.0708960E-02 -0.8109387    
   9.3115922E-03 -0.8541716    
   8.1195524E-03 -0.8940985    
   7.0980629E-03 -0.9311770    
   6.2134988E-03 -0.9651939    
   5.4616788E-03 -0.9956935    
   4.8127342E-03  -1.023484    
   4.2407862E-03  -1.048416    
   3.7388729E-03  -1.070388    
   3.2958360E-03  -1.089647    
   2.9026440E-03  -1.106180    
   2.5549361E-03  -1.119684    
   2.2505140E-03  -1.130708    
   1.9782961E-03  -1.139073    
   1.7388220E-03  -1.144803    
   1.5231720E-03  -1.148220    
   1.3310109E-03  -1.149070    
   1.1578600E-03  -1.147732    
   1.0015999E-03  -1.144004    
   8.6101168E-04  -1.138119    
   7.3376868E-04  -1.130005    
   6.1949401E-04  -1.119708    
   5.1663112E-04  -1.107315    
   4.2471301E-04  -1.092785    
   3.4275471E-04  -1.076272    
   2.7007260E-04  -1.057673    
   2.0636390E-04  -1.037117    
   1.5087640E-04  -1.014553    
   1.0354390E-04 -0.9900626    
   6.3809734E-05 -0.9637109    
   3.1729880E-05 -0.9353750    
   7.1269769E-06 -0.9051729    
  -1.0065640E-05 -0.8731715    
  -1.9826361E-05 -0.8394396    
  -2.2186970E-05 -0.8038052    
  -1.7073849E-05 -0.7664060    
  -4.1422059E-06 -0.7267886    
   1.6798420E-05 -0.6853970    
   4.6599322E-05 -0.6422021    
   8.5252039E-05 -0.5973692    
   1.3395589E-04 -0.5508050    
   1.9220910E-04 -0.5025818    
   2.6227761E-04 -0.4522627    
   3.4332281E-04 -0.3995508    
   4.3799891E-04 -0.3450824    
   5.4632348E-04 -0.2886115    
   6.6964549E-04 -0.2299893    
   8.1233232E-04 -0.1675318    
   9.7637711E-04 -0.1021273    
   1.1697280E-03 -3.4797002E-02
   1.3953930E-03  3.4119289E-02
   1.6588450E-03  0.1055534    
   1.9726970E-03  0.1810791    
   2.3634289E-03  0.2596528    
   2.8663680E-03  0.3409602    
   3.5174340E-03  0.4209036    
   4.3746368E-03  0.4960279    
   5.4768198E-03  0.5686518    
   6.9490159E-03  0.6436427    
   8.7964097E-03  0.7183565    
   1.1042450E-02  0.7849048    
   1.3726670E-02  0.8400557    
   1.6940171E-02  0.8817139    
   2.0756330E-02  0.9181237    
   2.5241930E-02  0.9471928    
   3.0481171E-02  0.9579379    
   3.6619399E-02  0.9625766    
   4.3716822E-02  0.9675499    
   5.1879089E-02  0.9664034    
   6.1215989E-02  0.9639888    
