zone
# x/c     Cp
   7.1848042E-02  0.9637367    
   8.3898149E-02  0.9647300    
   9.7492829E-02  0.9658436    
   0.1127569      0.9712529    
   0.1298231      0.9791367    
   0.1488134      0.9880051    
   0.1698553       1.000222    
   0.1924453       1.011692    
   0.2158761       1.023423    
   0.2397721       1.036049    
   0.2639743       1.051295    
   0.2883312       1.064710    
   0.3126932       1.077433    
   0.3369247       1.092501    
   0.3608969       1.107036    
   0.3844922       1.121599    
   0.4074881       1.135369    
   0.4298511       1.150534    
   0.4515373       1.167208    
   0.4724796       1.184038    
   0.4925491       1.202385    
   0.5116171       1.221344    
   0.5298053       1.236184    
   0.5470198       1.226264    
   0.5631553       1.085999    
   0.5783857      0.8766706    
   0.5925208      0.7215116    
   0.6057404      0.6170833    
   0.6189003      0.5574670    
   0.6331532      0.5087491    
   0.6486700      0.4628271    
   0.6655977      0.4163724    
   0.6838809      0.3696346    
   0.7038345      0.3227223    
   0.7253772      0.2763653    
   0.7485679      0.2320921    
   0.7721869      0.1905005    
   0.7947199      0.1524006    
   0.8161539      0.1173516    
   0.8362526      8.5417584E-02
   0.8552176      5.6418616E-02
   0.8730139      3.0088577E-02
   0.8895826      6.4289761E-03
   0.9050974     -1.5073806E-02
   0.9194099     -3.4249321E-02
   0.9327551     -5.1277403E-02
   0.9449967     -6.6313669E-02
   0.9563385     -7.9641797E-02
   0.9667200     -9.1327488E-02
   0.9762588     -0.1010928    
   0.9847305     -0.1101439    
   0.9926769     -0.1148127    
    1.000000     -0.1264406    
zone
# EXP data
# x/c     Cp
   2.8689999E-02  0.6967400    
   1.2290000E-02  0.7460100    
   1.6390000E-02  0.7870600    
   2.0490000E-02  0.8445400    
   3.6880001E-02   1.058000    
   4.9180001E-02   1.074500    
   6.5569997E-02   1.049800    
   7.7869996E-02   1.017000    
   0.1065500      0.9759200    
   0.1557300      0.9841300    
   0.2049100      0.9841300    
   0.2254000      0.9923400    
   0.2540900       1.025200    
   0.3032700       1.066200    
   0.3278600       1.082700    
   0.3524500       1.090900    
   0.3770400       1.115500    
   0.4016300       1.140100    
   0.4303100       1.156600    
   0.4549000       1.189400    
   0.4794900       1.214000    
   0.5040800       1.238700    
   0.5286700       1.263300    
   0.5532600       1.058000    
   0.5778500      0.7378000    
   0.6024400      0.6228400    
   0.6229300      0.5817900    
   0.6516200      0.5243100    
   0.6844000      0.4750400    
   0.7048900      0.4339900    
   0.7540700      0.3436700    
   0.7786600      0.2944000    
   0.8032500      0.2451400    
   0.8319400      0.2040800    
   0.8524300      0.1548200    
   0.8770200      0.1137600    
   0.9016100      7.2710000E-02
   0.9262000      3.1649999E-02
   0.9507900     -1.1900000E-03
   0.9753800     -3.4040000E-02
   0.9876700     -4.2250000E-02
   0.9917700     -5.0460000E-02
   0.9958700     -0.1572000    
   0.9876700     -0.1982600    
   0.9753800     -0.2311000    
   0.9507900     -0.2803700    
   0.9262000     -0.2885800    
   0.9016100     -0.2885800    
   0.8770200     -0.2803700    
   0.8524300     -0.2639500    
   0.8278400     -0.2475200    
   0.8032500     -0.2311000    
   0.7745600     -0.2064700    
   0.7499700     -0.1818400    
   0.7008000     -0.1161500    
   0.6516200     -3.4040000E-02
   0.6188300      7.0199999E-03
   0.6024400      3.9859999E-02
   0.5778500      8.0920003E-02
   0.5532600      0.1301800    
   0.5286700      0.1712400    
   0.5040800      0.2205000    
   0.4794900      0.2697700    
   0.4549000      0.2861900    
   0.4303100      0.3436700    
   0.4057200      0.3683000    
   0.3770400      0.3600900    
   0.3524500      0.3354600    
   0.3278600      0.3026100    
   0.3032700      0.2533500    
   0.2499900      0.1712400    
   0.2008100      8.9129999E-02
   0.1516300      7.0199999E-03
   9.8360002E-02 -0.1161500    
   7.3770002E-02 -0.2064700    
   6.1469998E-02 -0.2557300    
   4.9180001E-02 -0.3214200    
   3.6880001E-02 -0.4117400    
   2.4590001E-02 -0.5513300    
   1.6390000E-02 -0.6252300    
   1.2290000E-02 -0.7073400    
   1.2290000E-02 -0.7566100    
   8.2000000E-03 -0.8140800    
   8.2000000E-03 -0.8715600    
   8.2000000E-03 -0.9208300    
   4.1000000E-03 -0.9865100    
   4.1000000E-03  -1.035800    
   4.1000000E-03  -1.093300    
   4.1000000E-03  -1.150700    
   4.1000000E-03  -1.134300    
   4.1000000E-03  -1.076800    
   0.0000000E+00 -0.8879800    
   0.0000000E+00 -0.5184900    
   0.0000000E+00 -0.2146800    
   4.1000000E-03 -5.8669999E-02
   4.1000000E-03  0.1548200    
   8.2000000E-03  0.2779800    
   8.2000000E-03  0.4011500    
   8.2000000E-03  0.4914700    
   8.2000000E-03  0.5735800    
   8.2000000E-03  0.6228400    
   1.2290000E-02  0.6556900    
