zone
# CFD data - standard grid
# x/c     Cp
   8.2994718E-04   3.664125    
   5.6547963E-04   4.012429    
   3.2364999E-04   4.379521    
   1.1216630E-04   4.758726    
  -5.9837690E-05   5.149503    
  -1.9296160E-04   5.542097    
  -2.7955271E-04   5.943890    
  -2.9582789E-04   6.351555    
  -2.1197190E-04   6.718884    
   1.0578250E-05   7.015726    
   4.1318411E-04   7.192743    
   1.0583050E-03   7.229308    
   1.9773520E-03   7.149080    
   3.0035670E-03   6.969488    
   4.1295378E-03   6.744878    
   5.3710751E-03   6.506781    
   6.7561059E-03   6.260412    
   8.3078621E-03   6.010209    
   1.0053170E-02   5.760567    
   1.2028390E-02   5.513559    
   1.4249670E-02   5.270804    
   1.6788950E-02   5.032882    
   1.9663200E-02   4.801495    
   2.2940390E-02   4.577373    
   2.6655160E-02   4.361480    
   3.0901730E-02   4.153552    
   3.5754468E-02   3.954078    
   4.1254152E-02   3.763889    
   4.7541101E-02   3.582543    
   5.4660652E-02   3.410433    
   6.2691770E-02   3.247734    
   7.1786329E-02   3.093470    
   8.2024701E-02   2.947337    
   9.3432508E-02   2.809378    
   0.1060904       2.678854    
   0.1200800       2.554842    
   0.1354054       2.436561    
   0.1521572       2.323004    
   0.1702613       2.213448    
   0.1897078       2.107139    
   0.2104509       2.003186    
   0.2324289       1.900852    
   0.2555633       1.799417    
   0.2797608       1.698230    
   0.3049052       1.596723    
   0.3308384       1.494320    
   0.3573339       1.390887    
   0.3837260       1.287614    
   0.4100626       1.181430    
   0.4384196       1.074538    
   0.4686005      0.9725519    
   0.5001290      0.8738828    
   0.5328424      0.7770657    
   0.5666006      0.6807914    
   0.6010724      0.5874335    
   0.6350847      0.4992804    
   0.6678210      0.4180669    
   0.6991364      0.3474376    
   0.7289147      0.2878393    
   0.7568046      0.2400534    
   0.7828758      0.2048271    
   0.8072214      0.1784989    
   0.8295406      0.1596404    
   0.8500262      0.1471511    
   0.8686904      0.1379188    
   0.8855207      0.1314729    
   0.9006820      0.1270111    
   0.9142303      0.1234902    
   0.9262455      0.1213146    
   0.9369538      0.1194945    
   0.9462929      0.1178575    
   0.9545304      0.1168081    
   0.9617664      0.1153137    
   0.9680107      0.1137193    
   0.9734600      0.1119226    
   0.9782009      0.1096342    
   0.9822890      0.1068711    
   0.9858059      0.1035418    
   0.9888467      9.9443965E-02
   0.9914696      9.4545737E-02
   0.9937169      8.8593781E-02
   0.9956390      8.3073966E-02
   0.9972919      7.5874582E-02
   0.9987116      7.9193279E-02
   0.9999281      7.7260390E-02
zone
# EXP data
# x/c     Cp
   0.0000000E+00   6.200000    
   2.9999999E-02  -1.000000    
   0.1000000     -0.7100000    
   0.2000000     -0.5000000    
   0.3000000     -0.4300000    
   0.4000000     -0.3600000    
   0.5000000     -0.2900000    
   0.6000000     -0.2200000    
   0.7000000     -0.1700000    
   0.8000000     -0.1100000    
   0.9000000      0.0000000E+00
    1.000000      0.3600000    
   0.0000000E+00   6.200000    
   1.7000001E-02   5.110000    
   2.9999999E-02   3.690000    
   0.1000000       2.830000    
   0.2000000       2.170000    
   0.3000000       1.760000    
   0.4000000       1.380000    
   0.5000000       1.020000    
   0.6000000      0.7200000    
   0.7000000      0.5400000    
   0.8000000      0.4700000    
   0.9000000      0.4600000    
    1.000000      0.3600000    
zone
# CFD data - chimera grid
# x/c     Cp
   0.9999281      7.8722827E-02
   0.9986655      7.9382740E-02
   0.9971959      5.4576565E-02
   0.9954874      3.6629181E-02
   0.9935042      2.0035675E-02
   0.9911900      4.6704495E-03
   0.9884940     -9.6304072E-03
   0.9853744     -2.3309672E-02
   0.9817729     -3.6776062E-02
   0.9775951     -5.0370183E-02
   0.9727591     -6.4002611E-02
   0.9672105     -7.7464744E-02
   0.9608662     -9.1182329E-02
   0.9535270     -0.1052150    
   0.9451865     -0.1190560    
   0.9357539     -0.1332206    
   0.9249523     -0.1475555    
   0.9128508     -0.1619075    
   0.8992465     -0.1766426    
   0.8840279     -0.1913692    
   0.8671909     -0.2062406    
   0.8485124     -0.2212652    
   0.8280911     -0.2362771    
   0.8058099     -0.2515188    
   0.7816189     -0.2667137    
   0.7557579     -0.2819044    
   0.7280046     -0.2972271    
   0.6985456     -0.3125071    
   0.6676130     -0.3278553    
   0.6353237     -0.3433440    
   0.6018219     -0.3591009    
   0.5672673     -0.3753475    
   0.5318041     -0.3922837    
   0.4957777     -0.4102971    
   0.4594248     -0.4297622    
   0.4228799     -0.4546429    
   0.3868815     -0.4808306    
   0.3521839     -0.5029908    
   0.3191139     -0.5246273    
   0.2881615     -0.5465192    
   0.2594914     -0.5689774    
   0.2331589     -0.5924701    
   0.2091313     -0.6173679    
   0.1873300     -0.6436279    
   0.1676906     -0.6713185    
   0.1499851     -0.7004184    
   0.1341332     -0.7304634    
   0.1199839     -0.7613131    
   0.1073532     -0.7926736    
   9.6133627E-02 -0.8235616    
   8.6240120E-02 -0.8536364    
   7.7442206E-02 -0.8831279    
   6.9607347E-02 -0.9106056    
   6.2720940E-02 -0.9351841    
   5.6632899E-02 -0.9576891    
   5.1196810E-02 -0.9765114    
   4.6389081E-02 -0.9915658    
   4.2094801E-02  -1.002073    
   3.8285758E-02  -1.008276    
   3.4844309E-02  -1.009277    
   3.1803321E-02  -1.004134    
   2.9064201E-02 -0.9939585    
   2.6591141E-02 -0.9770052    
   2.4357321E-02 -0.9542193    
   2.2323189E-02 -0.9239231    
   2.0499790E-02 -0.8862998    
   1.8841770E-02 -0.8428267    
   1.7317461E-02 -0.7912602    
   1.5926139E-02 -0.7311616    
   1.4655870E-02 -0.6639233    
   1.3481080E-02 -0.5886725    
   1.2400500E-02 -0.5037444    
   1.1407990E-02 -0.4117616    
   1.0481090E-02 -0.3101272    
   9.6291648E-03 -0.1991860    
   8.8324696E-03 -8.0325767E-02
   8.0903592E-03  5.0065767E-02
   7.4023991E-03  0.1880867    
   6.7527369E-03  0.3373687    
   6.1502480E-03  0.4968174    
   5.5809510E-03  0.6655326    
   5.0478680E-03  0.8464455    
   4.5452751E-03   1.037629    
   4.0709991E-03   1.241301    
   3.6245689E-03   1.456203    
   3.2022081E-03   1.683212    
   2.8029289E-03   1.923269    
   2.4242860E-03   2.176361    
   2.0679219E-03   2.443224    
   1.7287830E-03   2.726014    
   1.4081530E-03   3.024063    
   1.1085500E-03   3.336551    
   8.2994718E-04   3.662235    
   5.6547963E-04   4.010432    
   3.2364999E-04   4.377407    
   1.1216630E-04   4.756467    
  -5.9837690E-05   5.147082    
  -1.9296160E-04   5.539487    
  -2.7955271E-04   5.941052    
  -2.9582789E-04   6.348448    
  -2.1197190E-04   6.715470    
   1.0578250E-05   7.011981    
   4.1318411E-04   7.188663    
   1.0583050E-03   7.224897    
   1.9773520E-03   7.144385    
   3.0035670E-03   6.964589    
   4.1295378E-03   6.739850    
   5.3710751E-03   6.501670    
   6.7561059E-03   6.255249    
   8.3078621E-03   6.005019    
   1.0053170E-02   5.755373    
   1.2028390E-02   5.508371    
   1.4249670E-02   5.265642    
   1.6788950E-02   5.027756    
   1.9663200E-02   4.796417    
   2.2940390E-02   4.572357    
   2.6655160E-02   4.356529    
   3.0901730E-02   4.148679    
   3.5754468E-02   3.949291    
   4.1254152E-02   3.759181    
   4.7541101E-02   3.577935    
   5.4660652E-02   3.405922    
   6.2691770E-02   3.243323    
   7.1786329E-02   3.089166    
   8.2024701E-02   2.943141    
   9.3432508E-02   2.805290    
   0.1060904       2.674877    
   0.1200800       2.550977    
   0.1354054       2.432806    
   0.1521572       2.319357    
   0.1702613       2.209910    
   0.1897078       2.103707    
   0.2104509       1.999855    
   0.2324289       1.897620    
   0.2555633       1.796278    
   0.2797608       1.695179    
   0.3049052       1.593758    
   0.3308384       1.491436    
   0.3573339       1.388079    
   0.3837260       1.284867    
   0.4100626       1.178741    
   0.4384196       1.071902    
   0.4686005      0.9699761    
   0.5001290      0.8713730    
