zone
#Experimental Profiles, x/c = 0.6200
#U/Uref  y/n
 -0.019408   -0.000119
  0.489907    0.004223
  0.577030    0.006524
  0.673876    0.008713
  0.770724    0.010902
  0.872399    0.013320
  0.954680    0.015506
  1.027250    0.017689
  1.099818    0.019872
  1.138400    0.022047
  1.157545    0.024331
  1.176746    0.026159
  1.181297    0.028667
  1.185848    0.031175
zone
#Experimental Profiles, x/c = 0.6750
#U/Uref  y/n
 -0.000069    0.000114
  0.303661    0.002385
  0.370071    0.004682
  0.451076    0.006871
  0.522329    0.009170
  0.608244    0.011247
  0.703568    0.013782
  0.784641    0.015857
  0.865715    0.017933
  0.956334    0.020239
  1.018040    0.022307
  1.069857    0.024712
  1.112264    0.026660
  1.135098    0.028941
  1.148317    0.031105
  1.161536    0.033269
zone
#Experimental Profiles, x/c = 0.7310
#U/Uref  y/n
 -0.000009    0.000000
  0.158201    0.002010
  0.228642    0.004090
  0.293936    0.006735
  0.335461    0.009142
  0.415467    0.011227
  0.505040    0.013316
  0.560987    0.015617
  0.631282    0.017924
  0.720781    0.020127
  0.786148    0.022659
  0.847023    0.024734
  0.922174    0.026930
  0.973483    0.029001
  1.010152    0.031519
  1.047184    0.033469
  1.079360    0.035530
  1.092115    0.038037
  1.095593    0.040084
  1.098783    0.042585
zone
#Experimental Profiles, x/c = 0.7860
#U/Uref  y/n
  0.000006    0.000008
  0.056407    0.001539
  0.112285    0.003813
  0.144202    0.006083
  0.181074    0.008128
  0.246537    0.010404
  0.297216    0.013243
  0.362921    0.015180
  0.418962    0.017228
  0.479551    0.019616
  0.535509    0.021778
  0.591550    0.023826
  0.656931    0.026215
  0.708099    0.028375
  0.773479    0.030765
  0.834230    0.032927
  0.875732    0.035198
  0.912523    0.037356
  0.963690    0.039517
  0.995688    0.041673
  1.018102    0.043828
  1.040273    0.046323
  1.043519    0.048475
  1.056349    0.050628
  1.064306    0.052893
zone
#Experimental Profiles, x/c = 0.8420
#U/Uref  y/n
 -0.000089    0.000000
 -0.021425    0.002101
  0.010640    0.004150
  0.033014    0.006423
  0.055312    0.008809
  0.082532    0.010970
  0.119370    0.013021
  0.151139    0.015523
  0.187754    0.017914
  0.229289    0.020079
  0.266127    0.022129
  0.317207    0.024297
  0.372911    0.026693
  0.414446    0.028858
  0.465452    0.031140
  0.521378    0.033196
  0.581853    0.035593
  0.637630    0.037876
  0.693557    0.039932
  0.744562    0.042213
  0.790869    0.044380
  0.837177    0.046546
  0.888108    0.048941
  0.915402    0.050989
  0.937849    0.053148
  0.969841    0.055311
  0.992288    0.057470
  1.009741    0.059968
  0.998636    0.062345
  1.011614    0.064388
  1.024443    0.066658
  1.032649    0.068700
zone
#Experimental Profiles, x/c = 0.8970
#U/Uref  y/n
  0.000001    0.000000
 -0.066799    0.001965
 -0.044429    0.004128
 -0.031788    0.006515
 -0.014202    0.008676
 -0.006344    0.011062
  0.020890    0.013113
  0.043099    0.015503
  0.060685    0.017664
  0.102026    0.020060
  0.124478    0.022109
  0.156415    0.024275
  0.193054    0.026556
  0.215505    0.028605
  0.242496    0.030996
  0.279135    0.033277
  0.334990    0.035450
  0.385978    0.037735
  0.427319    0.040131
  0.464040    0.042298
  0.500598    0.044693
  0.537480    0.046633
  0.578821    0.049029
  0.629648    0.051541
  0.671234    0.053596
  0.731790    0.055884
  0.768593    0.057938
  0.800285    0.060444
  0.837087    0.062498
  0.878591    0.064667
  0.900798    0.067056
  0.932572    0.069449
  0.960051    0.071160
  0.972611    0.073660
  0.985495    0.075706
  0.993515    0.077865
  1.015641    0.080368
  1.014176    0.082410
  1.002899    0.084790
  1.006135    0.086947
zone
#Experimental Profiles, x/c = 0.9530
#U/Uref  y/n
  0.000004    0.000003
 -0.111512    0.002052
 -0.098476    0.004208
 -0.090445    0.006702
 -0.081919    0.008403
 -0.068955    0.010672
 -0.046548    0.013171
 -0.024000    0.015443
 -0.006314    0.017827
  0.006721    0.019983
  0.029410    0.022028
  0.037653    0.024183
  0.059990    0.026794
  0.087471    0.028842
  0.114811    0.031115
  0.137287    0.033501
  0.169490    0.035662
  0.201552    0.038051
  0.229103    0.039985
  0.265956    0.042375
  0.307459    0.044992
  0.339874    0.046815
  0.372076    0.048977
  0.408857    0.051480
  0.450714    0.053531
  0.492359    0.055923
  0.524562    0.058085
  0.570928    0.060591
  0.608062    0.062528
  0.645057    0.064691
  0.691494    0.067084
  0.723837    0.069019
  0.760619    0.071522
  0.792963    0.073458
  0.829956    0.075621
  0.871460    0.078239
  0.884636    0.080169
  0.911906    0.082555
  0.934383    0.084941
  0.952280    0.086985
  0.965386    0.089027
  0.983142    0.091298
  0.996036    0.093680
  0.994766    0.095718
  1.012381    0.098216
  1.020554    0.100483
  1.028867    0.102524
zone
#Computational Profiles, x/c = 0.6200
#U/Uref  y/n
  0.000000    0.000000
  0.019303    0.000021
  0.042051    0.000046
  0.069881    0.000075
  0.103631    0.000109
  0.143133    0.000148
  0.185574    0.000193
  0.225173    0.000245
  0.257168    0.000305
  0.281471    0.000375
  0.300713    0.000457
  0.317238    0.000551
  0.332469    0.000660
  0.347199    0.000787
  0.361880    0.000934
  0.376793    0.001105
  0.392134    0.001303
  0.408070    0.001532
  0.424767    0.001798
  0.442412    0.002106
  0.461228    0.002463
  0.481485    0.002878
  0.503508    0.003358
  0.527679    0.003915
  0.554452    0.004561
  0.584346    0.005310
  0.617953    0.006179
  0.655947    0.007186
  0.699082    0.008354
  0.748178    0.009708
  0.804063    0.011278
  0.867395    0.013099
  0.938324    0.015209
  1.015558    0.017657
  1.093828    0.020495
  1.161183    0.023786
  1.204060    0.027602
  1.220172    0.032026
zone
#Computational Profiles, x/c = 0.6750
#U/Uref  y/n
  0.000000    0.000000
  0.012562    0.000022
  0.027694    0.000047
  0.046686    0.000076
  0.070461    0.000109
  0.099620    0.000148
  0.133322    0.000193
  0.167862    0.000246
  0.198106    0.000306
  0.221771    0.000377
  0.240219    0.000458
  0.255678    0.000553
  0.269706    0.000663
  0.283194    0.000790
  0.296642    0.000938
  0.310346    0.001109
  0.324504    0.001307
  0.339272    0.001537
  0.354804    0.001804
  0.371264    0.002113
  0.388853    0.002472
  0.407816    0.002888
  0.428452    0.003370
  0.451120    0.003929
  0.476244    0.004577
  0.504317    0.005329
  0.535909    0.006201
  0.571675    0.007211
  0.612363    0.008383
  0.658814    0.009742
  0.711930    0.011318
  0.772590    0.013145
  0.841453    0.015263
  0.918416    0.017719
  1.001043    0.020567
  1.081208    0.023869
  1.144401    0.027699
  1.179450    0.032138
  1.189680    0.037287
zone
#Computational Profiles, x/c = 0.7310
#U/Uref  y/n
  0.000000    0.000000
  0.002366    0.000022
  0.005842    0.000047
  0.011024    0.000076
  0.018556    0.000110
  0.029247    0.000149
  0.043880    0.000195
  0.062421    0.000248
  0.082880    0.000309
  0.101982    0.000380
  0.117846    0.000462
  0.130879    0.000558
  0.142289    0.000668
  0.153051    0.000797
  0.163762    0.000945
  0.174771    0.001118
  0.186292    0.001318
  0.198475    0.001550
  0.211447    0.001819
  0.225337    0.002131
  0.240304    0.002492
  0.256542    0.002912
  0.274301    0.003398
  0.293893    0.003962
  0.315694    0.004615
  0.340153    0.005373
  0.367796    0.006252
  0.399239    0.007271
  0.435197    0.008453
  0.476503    0.009823
  0.524114    0.011412
  0.579101    0.013254
  0.642607    0.015390
  0.715688    0.017866
  0.798879    0.020738
  0.890682    0.024068
  0.983883    0.027929
  1.063319    0.032406
  1.113879    0.037597
  1.134063    0.043616
zone
#Computational Profiles, x/c = 0.7860
#U/Uref  y/n
  0.000000    0.000000
 -0.002846    0.000022
 -0.005494    0.000047
 -0.007838    0.000077
 -0.009582    0.000111
 -0.010293    0.000151
 -0.009374    0.000197
 -0.006111    0.000250
 -0.000033    0.000312
  0.008303    0.000384
  0.017346    0.000467
  0.025861    0.000563
  0.033660    0.000675
  0.041130    0.000804
  0.048691    0.000955
  0.056645    0.001129
  0.065190    0.001331
  0.074460    0.001565
  0.084554    0.001837
  0.095569    0.002152
  0.107609    0.002517
  0.120814    0.002940
  0.135369    0.003431
  0.151522    0.004000
  0.169598    0.004660
  0.189997    0.005426
  0.213204    0.006313
  0.239798    0.007342
  0.270464    0.008535
  0.306011    0.009919
  0.347397    0.011523
  0.395745    0.013383
  0.452356    0.015539
  0.518692    0.018040
  0.596285    0.020940
  0.686382    0.024302
  0.788488    0.028201
  0.896202    0.032721
  0.993355    0.037963
  1.060745    0.044040
  1.092119    0.051087
  1.099022    0.059259
zone
#Computational Profiles, x/c = 0.8420
#U/Uref  y/n
  0.000000    0.000000
 -0.004910    0.000022
 -0.010152    0.000048
 -0.015925    0.000078
 -0.022208    0.000113
 -0.028934    0.000153
 -0.035973    0.000200
 -0.043078    0.000254
 -0.049811    0.000317
 -0.055433    0.000390
 -0.059042    0.000475
 -0.060288    0.000573
 -0.059665    0.000687
 -0.057874    0.000819
 -0.055306    0.000971
 -0.052050    0.001149
 -0.048068    0.001354
 -0.043289    0.001593
 -0.037638    0.001869
 -0.031047    0.002189
 -0.023449    0.002561
 -0.014775    0.002992
 -0.004943    0.003491
  0.006160    0.004071
  0.018709    0.004742
  0.032963    0.005521
  0.049284    0.006424
  0.068147    0.007471
  0.090148    0.008685
  0.116022    0.010093
  0.146668    0.011725
  0.183186    0.013618
  0.226919    0.015813
  0.279500    0.018357
  0.342890    0.021308
  0.419395    0.024729
  0.511575    0.028697
  0.621493    0.033297
  0.747129    0.038631
  0.875057    0.044815
  0.979826    0.051987
  1.041400    0.060302
  1.063044    0.069944
zone
#Computational Profiles, x/c = 0.8970
#U/Uref  y/n
  0.000000    0.000000
 -0.004555    0.000023
 -0.009517    0.000049
 -0.015152    0.000080
 -0.021530    0.000115
 -0.028716    0.000157
 -0.036768    0.000204
 -0.045709    0.000260
 -0.055464    0.000324
 -0.065671    0.000399
 -0.075428    0.000485
 -0.083447    0.000585
 -0.088862    0.000701
 -0.091866    0.000836
 -0.093189    0.000992
 -0.093370    0.001173
 -0.092661    0.001383
 -0.091136    0.001626
 -0.088785    0.001908
 -0.085561    0.002236
 -0.081403    0.002615
 -0.076242    0.003055
 -0.070003    0.003565
 -0.062606    0.004157
 -0.053965    0.004843
 -0.043966    0.005638
 -0.032437    0.006560
 -0.019097    0.007629
 -0.003529    0.008869
  0.014841    0.010307
  0.036756    0.011973
  0.063170    0.013906
  0.095296    0.016147
  0.134682    0.018746
  0.183300    0.021759
  0.243645    0.025253
  0.318827    0.029305
  0.412609    0.034002
  0.528945    0.039449
  0.668057    0.045765
  0.816176    0.053088
  0.941844    0.061580
  1.017224    0.071426
  1.043573    0.082842
  1.044746    0.096078
zone
#Computational Profiles, x/c = 0.9530
#U/Uref  y/n
  0.000000    0.000000
 -0.005044    0.000024
 -0.010589    0.000051
 -0.017010    0.000083
 -0.024440    0.000120
 -0.033029    0.000163
 -0.042943    0.000212
 -0.054301    0.000270
 -0.067079    0.000336
 -0.080856    0.000414
 -0.094640    0.000503
 -0.106964    0.000607
 -0.116431    0.000728
 -0.122705    0.000867
 -0.126453    0.001029
 -0.128446    0.001217
 -0.129177    0.001435
 -0.128877    0.001688
 -0.127632    0.001981
 -0.125464    0.002320
 -0.122369    0.002714
 -0.118327    0.003171
 -0.113314    0.003700
 -0.107297    0.004314
 -0.100237    0.005026
 -0.092085    0.005851
 -0.082777    0.006808
 -0.072209    0.007918
 -0.060200    0.009205
 -0.046445    0.010697
 -0.030486    0.012426
 -0.011671    0.014432
  0.010888    0.016758
  0.038391    0.019455
  0.072472    0.022582
  0.115353    0.026208
  0.170060    0.030412
  0.240654    0.035287
  0.332501    0.040939
  0.452175    0.047492
  0.603102    0.055090
  0.770775    0.063898
  0.914802    0.074109
  0.998359    0.085945
  1.023961    0.099622
  1.022247    0.115374
zone
#Experimental Profiles, x/c = 0.6200
#U/Uref  y/n
 -0.019408   -0.000119
  0.489907    0.004223
  0.577030    0.006524
  0.673876    0.008713
  0.770724    0.010902
  0.872399    0.013320
  0.954680    0.015506
  1.027250    0.017689
  1.099818    0.019872
  1.138400    0.022047
  1.157545    0.024331
  1.176746    0.026159
  1.181297    0.028667
  1.185848    0.031175
zone
#Experimental Profiles, x/c = 0.6750
#U/Uref  y/n
 -0.000069    0.000114
  0.303661    0.002385
  0.370071    0.004682
  0.451076    0.006871
  0.522329    0.009170
  0.608244    0.011247
  0.703568    0.013782
  0.784641    0.015857
  0.865715    0.017933
  0.956334    0.020239
  1.018040    0.022307
  1.069857    0.024712
