# Sajben Diffuser
# Weak Shock Velocity Data (Pexit/Ptin=0.82)
# Y/H, XVel(m/s)  [H*=Throat Height, H=Local Duct Height]
# X/H* = 2.882, 4.611, 6.340,7.493
#    Y/H   U2.882    Y/H   U4.611    Y/H   U6.340     Y/H    U7.493
Variables="j","yH","U2.882","zH","U4.611","wH","U6.340","sH","U7.493"
Zone T="Sajben", F=Point
0  0.0102   90.79   0.0086   75.27   0.0080   77.68    0.0080   85.58
0  0.0195  110.98   0.0164   85.12   0.0153   87.87    0.0153   97.06
0  0.0297  129.64   0.0250   92.36   0.0234   91.60    0.0233  102.10
0  0.0390  147.80   0.0328  100.57   0.0307   97.03    0.0307  106.02
0  0.0492  167.50   0.0414  108.91   0.0387  102.45    0.0387  109.69
0  0.0585  183.70   0.0492  117.47   0.0460  106.62    0.0460  112.08
0  0.0729  208.95   0.0614  130.05   0.0574  111.47    0.0573  118.26
0  0.0975  238.43   0.0821  150.72   0.0767  124.87    0.0767  128.09
0  0.1221  241.91   0.1028  170.62   0.0961  137.12    0.0960  138.19
0  0.1466  242.05   0.1234  187.05   0.1154  151.03    0.1153  147.21
0  0.1958  242.41   0.1648  203.82   0.1541  173.16    0.1540  163.89
0  0.2441  241.08   0.2055  206.77   0.1922  184.27    0.1920  175.59
0  0.2933  240.93   0.2469  205.87   0.2309  188.52    0.2307  182.63
0  0.3662  241.00   0.3083  205.83   0.2883  189.02    0.2880  184.32
0  0.4713  239.92   0.3511  206.06   0.3924  188.18    0.3940  183.71
0  0.5205  241.14   0.4331  204.23   0.4691  187.71    0.4707  183.23
0  0.5688  240.92   0.5159  203.49   0.5458  187.26    0.5473  182.85
0  0.6180  239.68   0.5980  202.57   0.6232  186.12    0.6247  182.60
0  0.6671  240.24   0.6800  202.27   0.7000  185.57    0.7013  182.54
0  0.7154  240.59   0.7628  202.23   0.7767  184.15    0.7780  178.30
0  0.7646  239.36   0.8035  201.54   0.8154  176.94    0.8167  170.09
0  0.8138  240.44   0.8449  195.64   0.8541  159.71    0.8547  157.31
0  0.8621  239.89   0.8855  168.96   0.8922  135.26    0.8933  138.36
0  0.8867  238.96   0.9062  147.29   0.9115  123.26    0.9127  129.42
0  0.9112  233.96   0.9269  125.56   0.9309  111.37    0.9320  120.06
0  0.9358  215.58   0.9476  105.11   0.9502   99.82    0.9513  111.47
0  0.9604  175.97   0.9683   86.52   0.9689   89.49    0.9700  103.56
0  0.9841  128.70   0.9890   71.13   0.9883   80.26    0.9893   96.22
0  0.9994  102.92   1.0011   57.74   1.0003   69.10    1.0007   84.33
