 M100, M=0.8027, alpha=2.873, Re=13.1M
  8
 Span Station           1
  15      0.5500      -0.2873
  16      0.6000      -0.2158
  17      0.6500      -0.1967
  18      0.7000      -0.1912
  19      0.7500      -0.1884
  20      0.8000      -0.1696
  21      0.8500      -0.1263
  22      0.9000      -0.0483
  23      0.9500       0.0456
  24      0.9900       0.1098
  25      1.0000       0.1521
 Lower Surface Data
  25      1.0000       0.1521
  26      0.0000       0.3453
  27      0.0100       0.3867
  28      0.0250       0.3074
  29      0.0500       0.1867
  30      0.0750       0.1009
  31      0.1000       0.0764
  32      0.1600       0.0060
  33      0.2200      -0.0588
  34      0.2800      -0.1066
  35      0.3400      -0.1345
  36      0.4000      -0.1467
  37      0.4600      -0.1119
  38      0.5200      -0.0829
  39      0.5800      -0.0555
  40      0.6400      -0.0123
  41      0.7000       0.0142
  42      0.7600       0.0919
  43      0.8200       0.1602
  44      0.8800       0.2373
  45      0.9400       0.2954
  46      0.9900       0.2212
  47      1.0000       0.1521
 Span Station           4
 25  23 0.325
 Upper Surface Data
   1      0.0000       0.6146
   2      0.0100      -0.6384
   3      0.0250      -0.7091
   4      0.0500      -1.1836
   5      0.0750      -1.2546
   6      0.1000      -1.3349
   7      0.1500      -1.4042
   8      0.2000      -1.4482
   9      0.2500      -1.4375
  10      0.3000      -1.4115
  11      0.3500      -1.3629
  12      0.4000      -1.3338
  13      0.4500      -1.0643
  14      0.5000      -0.7463
  15      0.5500      -0.5304
  16      0.6000      -0.3533
  17      0.6500      -0.2824
  18      0.7000      -0.2410
  19      0.7500      -0.2199
  20      0.8000      -0.1909
  21      0.8500      -0.1470
  22      0.9000      -0.0831
  23      0.9500       0.0103
  24      0.9900       0.0901
  25      1.0000   -9999.0000
 Lower Surface Data
  25      1.0000   -9999.0000
  26      0.0000       0.6146
  27      0.0100       0.4859
  28      0.0250       0.4178
  29      0.0500       0.2558
  30      0.0750       0.1970
  31      0.1000       0.1228
  32      0.1600       0.0550
  33      0.2200   -9999.0000
  34      0.2800      -0.0842
  35      0.3400      -0.1185
  36      0.4000      -0.1345
  37      0.4600      -0.1317
  38      0.5200      -0.0882
  39      0.5800      -0.0457
  40      0.6400       0.0051
  41      0.7000       0.0573
  42      0.7600       0.1112
  43      0.8200       0.1637
  44      0.8800       0.2258
  45      0.9400       0.2617
  46      0.9900       0.2288
  47      1.0000   -9999.0000
 Span Station           5
 25  23 0.455
 Upper Surface Data
   1      0.0000       0.6556
   2      0.0100      -0.7217
   3      0.0250      -0.7774
   4      0.0500      -1.1587
   5      0.0750      -1.2324
   6      0.1000      -1.2821
   7      0.1500      -1.2852
   8      0.2000      -1.2726
   9      0.2500      -1.2514
  10      0.3000      -1.2550
  11      0.3500      -1.2365
  12      0.4000      -1.1773
  13      0.4500      -0.9774
  14      0.5000      -0.5816
  15      0.5500      -0.4222
  16      0.6000      -0.3344
  17      0.6500      -0.3196
  18      0.7000      -0.3004
  19      0.7500      -0.2644
  20      0.8000      -0.2281
  21      0.8500      -0.1680
  22      0.9000      -0.0952
  23      0.9500      -0.0316
  24      0.9900       0.0196
  25      1.0000       0.0110
 Lower Surface Data
  25      1.0000       0.0110
  26      0.0000       0.6556
  27      0.0100   -9999.0000
  28      0.0250       0.4213
  29      0.0500       0.2497
  30      0.0750       0.1947
  31      0.1000       0.1370
  32      0.1600       0.0496
  33      0.2200      -0.0214
  34      0.2800      -0.0555
  35      0.3400      -0.1062
  36      0.4000      -0.1363
  37      0.4600      -0.1115
  38      0.5200      -0.0652
  39      0.5800      -0.0034
  40      0.6400   -9999.0000
  41      0.7000       0.1345
  42      0.7600       0.1919
  43      0.8200       0.2455
  44      0.8800       0.2860
  45      0.9400       0.2963
  46      0.9900       0.1974
  47      1.0000       0.0110
 Span Station           6
 25  23 0.633
 Upper Surface Data
   1      0.0000       0.6558
   2      0.0100      -0.5782
   3      0.0250      -0.6524
   4      0.0500      -1.1653
   5      0.0750      -1.2413
   6      0.1000      -1.2850
   7      0.1500      -1.2717
   8      0.2000      -1.2591
   9      0.2500      -1.2241
  10      0.3000      -1.2099
  11      0.3500      -1.1849
  12      0.4000      -1.1452
  13      0.4500      -0.9991
  14      0.5000      -0.6260
  15      0.5500      -0.4678
  16      0.6000      -0.3827
  17      0.6500      -0.3717
  18      0.7000      -0.3467
  19      0.7500      -0.3321
  20      0.8000      -0.2806
  21      0.8500      -0.2196
  22      0.9000      -0.1206
  23      0.9500      -0.0122
  24      0.9900       0.0607
  25      1.0000       0.0768
 Lower Surface Data
  25      1.0000       0.0768
  26      0.0000       0.6558
  27      0.0100       0.4310
  28      0.0250       0.3893
  29      0.0500       0.2185
  30      0.0750       0.1770
  31      0.1000       0.1328
  32      0.1600       0.0542
  33      0.2200      -0.0205
  34      0.2800   -9999.0000
  35      0.3400      -0.1001
  36      0.4000      -0.1107
  37      0.4600      -0.0816
  38      0.5200      -0.0274
  39      0.5800       0.0469
  40      0.6400       0.1199
  41      0.7000       0.1872
  42      0.7600       0.2467
  43      0.8200       0.2846
  44      0.8800       0.3093
  45      0.9400       0.2882
  46      0.9900       0.1334
  47      1.0000       0.0768
 Span Station           7
 25  23 0.817
 Upper Surface Data
   1      0.0000       0.6870
   2      0.0100      -0.7383
   3      0.0250      -0.7478
   4      0.0500      -0.9909
   5      0.0750      -1.1540
   6      0.1000      -1.2248
   7      0.1500      -1.2428
   8      0.2000      -1.2324
   9      0.2500      -1.2029
  10      0.3000      -1.1976
  11      0.3500      -1.1923
  12      0.4000      -1.1219
  13      0.4500      -0.6059
  14      0.5000      -0.4552
  15      0.5500      -0.3718
  16      0.6000      -0.3514
  17      0.6500      -0.3357
  18      0.7000      -0.3185
  19      0.7500      -0.2844
  20      0.8000      -0.2317
  21      0.8500      -0.1538
  22      0.9000      -0.0899
  23      0.9500       0.0122
  24      0.9900       0.0489
  25      1.0000       0.0793
 Lower Surface Data
  25      1.0000       0.0793
  26      0.0000       0.6870
  27      0.0100       0.4359
  28      0.0250       0.4295
  29      0.0500       0.2639
  30      0.0750       0.1961
  31      0.1000       0.1215
  32      0.1600       0.0357
  33      0.2200      -0.0211
  34      0.2800      -0.0935
  35      0.3400      -0.1316
  36      0.4000      -0.1455
  37      0.4600      -0.1110
  38      0.5200      -0.0390
  39      0.5800       0.0276
  40      0.6400       0.0976
  41      0.7000       0.1579
  42      0.7600       0.2097
  43      0.8200       0.2335
  44      0.8800       0.2530
  45      0.9400       0.2486
  46      0.9900       0.1767
  47      1.0000       0.0793
 Span Station           8
 25  23 0.935
 Upper Surface Data
   1      0.0000       0.5994
   2      0.0100      -0.9097
   3      0.0250      -0.5863
   4      0.0500      -1.1562
   5      0.0750      -1.2086
   6      0.1000      -1.2066
   7      0.1500      -1.1840
   8      0.2000      -1.1599
   9      0.2500      -1.0863
  10      0.3000      -1.0364
  11      0.3500      -0.5431
  12      0.4000      -0.3443
  13      0.4500      -0.3232
  14      0.5000      -0.3439
  15      0.5500      -0.3429
  16      0.6000      -0.3491
  17      0.6500      -0.3189
  18      0.7000      -0.2742
  19      0.7500      -0.2263
  20      0.8000      -0.1634
  21      0.8500      -0.0910
  22      0.9000      -0.0184
  23      0.9500       0.0596
  24      0.9900       0.0876
  25      1.0000       0.0995
 Lower Surface Data
  25      1.0000       0.0995
  26      0.0000       0.5994
  27      0.0100       0.4347
  28      0.0250       0.4053
  29      0.0500   -9999.0000
  30      0.0750       0.1416
  31      0.1000       0.0564
  32      0.1600      -0.0155
  33      0.2200      -0.0942
  34      0.2800      -0.1631
  35      0.3400      -0.1787
  36      0.4000      -0.1993
  37      0.4600      -0.1853
  38      0.5200      -0.1202
  39      0.5800      -0.0461
  40      0.6400       0.0350
  41      0.7000       0.0973
  42      0.7600       0.1513
  43      0.8200       0.1935
  44      0.8800       0.2139
  45      0.9400       0.1895
  46      0.9900       0.0695
  47      1.0000       0.0995
