 M100, M=0.8027, alpha=2.873, Re=13.1M
  8
 Span Station           1
 25  23 0.019
 Upper Surface Data
   1      0.0000       0.7454
   2      0.0100       0.1266
   3      0.0250      -0.1182
   4      0.0500      -0.5508
   5      0.0750      -0.6563
   6      0.1000      -0.6842
   7      0.1500      -0.8066
   8      0.2000      -0.8626
   9      0.2500      -0.9521
  10      0.3000      -0.9184
  11      0.3500      -0.9179
  12      0.4000      -0.8178
  13      0.4500      -0.7980
  14      0.5000      -0.7206
  15      0.5500      -0.5312
  16      0.6000      -0.4031
  17      0.6500      -0.3245
  18      0.7000      -0.2547
  19      0.7500      -0.2012
  20      0.8000      -0.1508
  21      0.8500      -0.1105
  22      0.9000      -0.0736
  23      0.9500      -0.0187
  24      0.9900       0.0381
  25      1.0000       0.0653
 Lower Surface Data
  25      1.0000       0.0653
  26      0.0000       0.7454
  27      0.0100       0.4345
  28      0.0250       0.2973
  29      0.0500       0.1786
  30      0.0750       0.1322
  31      0.1000       0.1006
  32      0.1600       0.0316
  33      0.2200      -0.0300
  34      0.2800      -0.0744
  35      0.3400      -0.0993
  36      0.4000      -0.1032
  37      0.4600      -0.0992
  38      0.5200      -0.0865
  39      0.5800      -0.0548
  40      0.6400      -0.0104
  41      0.7000       0.0372
  42      0.7600       0.0881
  43      0.8200       0.1278
  44      0.8800       0.1774
  45      0.9400       0.2043
  46      0.9900       0.1501
  47      1.0000       0.0653
 Span Station           2
 25  23 0.123
 Upper Surface Data
   1      0.0000       0.5078
   2      0.0100      -0.3528
   3      0.0250      -0.6611
   4      0.0500      -1.0031
   5      0.0750      -1.0269
   6      0.1000      -1.1291
   7      0.1500      -1.1870
   8      0.2000      -1.1708
   9      0.2500      -1.1489
  10      0.3000      -1.1731
  11      0.3500      -1.1278
  12      0.4000      -1.0134
  13      0.4500      -0.8274
  14      0.5000      -0.5145
  15      0.5500      -0.3881
  16      0.6000      -0.3088
  17      0.6500      -0.2528
  18      0.7000      -0.2044
  19      0.7500      -0.1692
  20      0.8000      -0.1350
  21      0.8500      -0.0951
  22      0.9000      -0.0354
  23      0.9500       0.0404
  24      0.9900       0.1086
  25      1.0000       0.1238
 Lower Surface Data
  25      1.0000       0.1238
  26      0.0000       0.5078
  27      0.0100       0.3450
  28      0.0250       0.2652
  29      0.0500       0.1320
  30      0.0750       0.0813
  31      0.1000       0.0271
  32      0.1600      -0.0650
  33      0.2200      -0.0860
  34      0.2800      -0.1178
  35      0.3400      -0.1341
  36      0.4000      -0.1324
  37      0.4600      -0.1068
  38      0.5200      -0.0843
  39      0.5800      -0.0469
  40      0.6400      -0.0096
  41      0.7000       0.0486
  42      0.7600       0.1017
  43      0.8200       0.1587
  44      0.8800       0.2320
  45      0.9400       0.2529
  46      0.9900       0.2451
  47      1.0000       0.1238
 Span Station           3
 25  23 0.231
 Upper Surface Data
   1      0.0000       0.3453
   2      0.0100      -0.7073
   3      0.0250      -0.8643
   4      0.0500      -1.0516
   5      0.0750      -1.2070
   6      0.1000      -1.2987
   7      0.1500      -1.3428
   8      0.2000      -1.3602
   9      0.2500      -1.3444
  10      0.3000      -1.3044
  11      0.3500      -1.2882
  12      0.4000      -1.2560
  13      0.4500      -1.1445
  14      0.5000      -0.5998
